city,capital,country,,,,,,,,
Nukuʻalofa,true,Tonga,"('Nukuʻalofa',true,'Tonga'),",,,,,,,"('Nukuʻalofa',true,'Tonga'),"
New Delhi,true,India,"('New Delhi',true,'India'),",,,,,,,"('New Delhi',true,'India'),"
Kathmandu,true,Nepal,"('Kathmandu',true,'Nepal'),",,,,,,,"('Kathmandu',true,'Nepal'),"
Ngerulmud,true,Palau,"('Ngerulmud',true,'Palau'),",,,,,,,"('Ngerulmud',true,'Palau'),"
Santiago,true,Chile,"('Santiago',true,'Chile'),",,,,,,,"('Santiago',true,'Chile'),"
Valletta,true,Malta,"('Valletta',true,'Malta'),",,,,,,,"('Valletta',true,'Malta'),"
Khartoum,true,Sudan,"('Khartoum',true,'Sudan'),",,,,,,,"('Khartoum',true,'Sudan'),"
Damascus,true,Syria,"('Damascus',true,'Syria'),",,,,,,,"('Damascus',true,'Syria'),"
Beijing,true,China,"('Beijing',true,'China'),",,,,,,,"('Beijing',true,'China'),"
Nairobi,true,Kenya,"('Nairobi',true,'Kenya'),",,,,,,,"('Nairobi',true,'Kenya'),"
Tripoli,true,Libya,"('Tripoli',true,'Libya'),",,,,,,,"('Tripoli',true,'Libya'),"
Niamey,true,Niger,"('Niamey',true,'Niger'),",,,,,,,"('Niamey',true,'Niger'),"
Madrid,true,Spain,"('Madrid',true,'Spain'),",,,,,,,"('Madrid',true,'Spain'),"
Sana'a,true,Yemen,"('Sana'a',true,'Yemen'),",,,,,,,"('Sana'a',true,'Yemen'),"
Cairo,true,Egypt,"('Cairo',true,'Egypt'),",,,,,,,"('Cairo',true,'Egypt'),"
Accra,true,Ghana,"('Accra',true,'Ghana'),",,,,,,,"('Accra',true,'Ghana'),"
Tokyo,true,Japan,"('Tokyo',true,'Japan'),",,,,,,,"('Tokyo',true,'Japan'),"
Rome,true,Italy,"('Rome',true,'Italy'),",,,,,,,"('Rome',true,'Italy'),"
Doha,true,Qatar,"('Doha',true,'Qatar'),",,,,,,,"('Doha',true,'Qatar'),"
Apia,true,Samoa,"('Apia',true,'Samoa'),",,,,,,,"('Apia',true,'Samoa'),"
N'Djamena,true,Chad,"('N'Djamena',true,'Chad'),",,,,,,,"('N'Djamena',true,'Chad'),"
Vientiane,true,Laos,"('Vientiane',true,'Laos'),",,,,,,,"('Vientiane',true,'Laos'),"
Baghdad,true,Iraq,"('Baghdad',true,'Iraq'),",,,,,,,"('Baghdad',true,'Iraq'),"
Havana,true,Cuba,"('Havana',true,'Cuba'),",,,,,,,"('Havana',true,'Cuba'),"
Tehran,true,Iran,"('Tehran',true,'Iran'),",,,,,,,"('Tehran',true,'Iran'),"
Bamako,true,Mali,"('Bamako',true,'Mali'),",,,,,,,"('Bamako',true,'Mali'),"
Muscat,true,Oman,"('Muscat',true,'Oman'),",,,,,,,"('Muscat',true,'Oman'),"
Suva,true,Fiji,"('Suva',true,'Fiji'),",,,,,,,"('Suva',true,'Fiji'),"
Lima,true,Peru,"('Lima',true,'Peru'),",,,,,,,"('Lima',true,'Peru'),"
Lomé,true,Togo,"('Lomé',true,'Togo'),",,,,,,,"('Lomé',true,'Togo'),"
